Timestamp,FPS,Processing_Latency_ms,Landmark_Status,Prediction_Confidence,Predicted_Gesture_ID,CPU_Usage_%,Memory_Usage_MB
2025-12-04 13:45:44.372739,0.00,0.00,Not Detected,0.0000,N/A,0.0,3904.4
2025-12-04 13:45:45.387818,0.00,0.00,Not Detected,0.0000,N/A,22.7,3854.3
2025-12-04 13:45:46.402381,0.00,0.00,Not Detected,0.0000,N/A,20.2,3787.5
2025-12-04 13:45:47.420690,0.00,0.00,Not Detected,0.0000,N/A,19.7,3791.0
2025-12-04 13:45:48.425447,0.00,0.00,Not Detected,0.0000,N/A,19.2,3730.8
2025-12-04 13:45:49.435244,0.00,0.00,Not Detected,0.0000,N/A,19.6,3726.8
2025-12-04 13:45:50.444218,0.00,0.00,Not Detected,0.0000,N/A,18.7,3707.1
2025-12-04 13:45:51.444601,0.00,0.00,Not Detected,0.0000,N/A,18.9,3706.6
2025-12-04 13:45:52.446669,0.00,0.00,Not Detected,0.0000,N/A,19.0,3705.5
2025-12-04 13:45:53.454729,0.00,0.00,Not Detected,0.0000,N/A,19.0,3705.2
2025-12-04 13:45:54.457679,0.00,0.00,Not Detected,0.0000,N/A,19.5,3700.0
2025-12-04 13:45:55.470215,0.00,0.00,Not Detected,0.0000,N/A,19.5,3699.0
2025-12-04 13:45:56.476786,0.00,0.00,Not Detected,0.0000,N/A,19.1,3699.4
2025-12-04 13:45:57.483380,0.00,0.00,Not Detected,0.0000,N/A,18.9,3697.8
2025-12-04 13:45:58.489619,0.00,0.00,Not Detected,0.0000,N/A,18.6,3699.6
2025-12-04 13:45:59.497795,0.00,0.00,Not Detected,0.0000,N/A,19.5,3699.8
2025-12-04 13:46:00.505482,0.00,0.00,Not Detected,0.0000,N/A,18.9,3724.7
2025-12-04 13:46:01.505601,0.00,0.00,Not Detected,0.0000,N/A,19.5,3725.1
2025-12-04 13:46:02.518903,0.00,0.00,Not Detected,0.0000,N/A,18.4,3724.4
2025-12-04 13:46:03.532059,0.00,0.00,Not Detected,0.0000,N/A,19.0,3703.2
2025-12-04 13:46:04.544305,0.00,0.00,Not Detected,0.0000,N/A,19.6,3703.5
2025-12-04 13:46:05.548999,0.00,0.00,Not Detected,0.0000,N/A,18.8,3703.6
2025-12-04 13:46:06.556384,0.00,0.00,Not Detected,0.0000,N/A,19.0,3703.8
2025-12-04 13:46:07.563002,0.00,0.00,Not Detected,0.0000,N/A,19.1,3703.8
2025-12-04 13:46:08.572389,0.00,0.00,Not Detected,0.0000,N/A,19.0,3703.5
2025-12-04 13:46:09.584050,0.00,0.00,Not Detected,0.0000,N/A,19.0,3699.0
2025-12-04 13:46:10.595777,0.00,0.00,Not Detected,0.0000,N/A,19.5,3703.3
2025-12-04 13:46:11.605763,0.00,0.00,Not Detected,0.0000,N/A,19.3,3703.5
2025-12-04 13:46:12.607941,0.00,0.00,Not Detected,0.0000,N/A,19.0,3700.6
2025-12-04 13:46:13.610220,0.00,0.00,Not Detected,0.0000,N/A,20.5,3703.1
2025-12-04 13:46:14.615807,0.00,0.00,Not Detected,0.0000,N/A,24.1,3704.8
2025-12-04 13:46:15.630762,0.00,0.00,Not Detected,0.0000,N/A,18.9,3703.7
2025-12-04 13:46:16.640064,0.00,0.00,Not Detected,0.0000,N/A,18.6,3703.8
2025-12-04 13:46:17.649413,0.00,0.00,Not Detected,0.0000,N/A,19.4,3747.9
2025-12-04 13:46:18.658162,0.00,0.00,Not Detected,0.0000,N/A,19.0,3746.7
2025-12-04 13:46:19.662117,0.00,0.00,Not Detected,0.0000,N/A,19.1,3725.8
2025-12-04 13:46:20.664727,0.00,0.00,Not Detected,0.0000,N/A,18.8,3714.4
2025-12-04 13:46:21.676525,0.00,0.00,Not Detected,0.0000,N/A,19.4,3704.3
2025-12-04 13:46:22.680205,0.00,0.00,Not Detected,0.0000,N/A,18.4,3703.2
2025-12-04 13:46:23.689364,0.00,0.00,Not Detected,0.0000,N/A,19.6,3705.3
2025-12-04 13:46:24.700293,0.00,0.00,Not Detected,0.0000,N/A,19.1,3705.7
2025-12-04 13:46:25.709521,0.00,0.00,Not Detected,0.0000,N/A,19.1,3706.2
2025-12-04 13:46:26.719659,0.00,0.00,Not Detected,0.0000,N/A,18.3,3704.3
2025-12-04 13:46:27.728468,0.00,0.00,Not Detected,0.0000,N/A,19.1,3703.2
2025-12-04 13:46:28.737656,0.00,0.00,Not Detected,0.0000,N/A,18.7,3703.5
2025-12-04 13:46:29.739969,0.00,0.00,Not Detected,0.0000,N/A,19.1,3703.5
