Timestamp,FPS,Processing_Latency_ms,Landmark_Status,Prediction_Confidence,Predicted_Gesture_ID,CPU_Usage_%,Memory_Usage_MB
2025-12-08 10:15:46.616249,0.00,0.00,Not Detected,0.0000,N/A,0.0,3925.9
2025-12-08 10:15:47.616399,0.00,0.00,Not Detected,0.0000,N/A,21.0,3859.0
2025-12-08 10:15:48.626168,0.00,0.00,Not Detected,0.0000,N/A,21.3,3812.5
2025-12-08 10:15:49.628883,0.00,0.00,Not Detected,0.0000,N/A,27.7,3819.6
2025-12-08 10:15:50.637383,0.00,0.00,Not Detected,0.0000,N/A,20.8,3743.1
2025-12-08 10:15:51.640605,0.00,0.00,Not Detected,0.0000,N/A,21.3,3742.1
2025-12-08 10:15:52.642576,0.00,0.00,Not Detected,0.0000,N/A,20.7,3724.2
2025-12-08 10:15:53.645915,0.00,0.00,Not Detected,0.0000,N/A,20.9,3720.5
2025-12-08 10:15:54.650679,0.00,0.00,Not Detected,0.0000,N/A,21.3,3719.2
2025-12-08 10:15:55.651674,0.00,0.00,Not Detected,0.0000,N/A,20.0,3723.2
2025-12-08 10:15:56.656964,0.00,0.00,Not Detected,0.0000,N/A,19.5,3719.5
2025-12-08 10:15:57.668905,0.00,0.00,Not Detected,0.0000,N/A,18.8,3724.7
2025-12-08 10:15:58.673912,0.00,0.00,Not Detected,0.0000,N/A,18.8,3722.8
2025-12-08 10:15:59.680143,0.00,0.00,Not Detected,0.0000,N/A,19.3,3722.3
2025-12-08 10:16:00.688103,0.00,0.00,Not Detected,0.0000,N/A,18.7,3721.9
2025-12-08 10:16:01.690851,0.00,0.00,Not Detected,0.0000,N/A,18.5,3722.4
2025-12-08 10:16:02.703579,0.00,0.00,Not Detected,0.0000,N/A,18.6,3723.8
2025-12-08 10:16:03.719521,0.00,0.00,Not Detected,0.0000,N/A,18.7,3722.0
2025-12-08 10:16:04.729259,0.00,0.00,Not Detected,0.0000,N/A,20.0,3768.3
2025-12-08 10:16:05.735650,0.00,0.00,Not Detected,0.0000,N/A,18.5,3759.4
2025-12-08 10:16:06.741589,0.00,0.00,Not Detected,0.0000,N/A,18.9,3745.1
2025-12-08 10:16:07.751091,0.00,0.00,Not Detected,0.0000,N/A,18.8,3723.6
2025-12-08 10:16:08.770607,0.00,0.00,Not Detected,0.0000,N/A,19.0,3721.5
2025-12-08 10:16:09.782174,0.00,0.00,Not Detected,0.0000,N/A,19.2,3765.8
2025-12-08 10:16:10.783729,0.00,0.00,Not Detected,0.0000,N/A,18.9,3765.0
2025-12-08 10:16:11.790322,0.00,0.00,Not Detected,0.0000,N/A,18.6,3756.4
2025-12-08 10:16:12.798745,0.00,0.00,Not Detected,0.0000,N/A,19.3,3732.2
2025-12-08 10:16:13.804501,0.00,0.00,Not Detected,0.0000,N/A,18.3,3723.7
2025-12-08 10:16:14.814088,0.00,0.00,Not Detected,0.0000,N/A,20.2,3719.4
2025-12-08 10:16:15.818860,0.00,0.00,Not Detected,0.0000,N/A,18.6,3718.0
2025-12-08 10:16:16.825602,0.00,0.00,Not Detected,0.0000,N/A,18.6,3720.2
2025-12-08 10:16:17.831340,0.00,0.00,Not Detected,0.0000,N/A,19.0,3720.1
2025-12-08 10:16:18.838199,0.00,0.00,Not Detected,0.0000,N/A,18.4,3719.5
2025-12-08 10:16:19.842904,0.00,0.00,Not Detected,0.0000,N/A,19.0,3720.3
2025-12-08 10:16:20.845799,0.00,0.00,Not Detected,0.0000,N/A,18.6,3720.6
2025-12-08 10:16:21.854359,0.00,0.00,Not Detected,0.0000,N/A,19.1,3719.0
2025-12-08 10:16:22.859400,0.00,0.00,Not Detected,0.0000,N/A,19.0,3720.2
2025-12-08 10:16:23.865185,0.00,0.00,Not Detected,0.0000,N/A,18.3,3720.4
2025-12-08 10:16:24.873370,0.00,0.00,Not Detected,0.0000,N/A,19.8,3720.2
2025-12-08 10:16:25.873457,0.00,0.00,Not Detected,0.0000,N/A,19.0,3723.9
2025-12-08 10:16:26.876365,0.00,0.00,Not Detected,0.0000,N/A,21.1,3736.9
2025-12-08 10:16:27.887835,0.00,0.00,Not Detected,0.0000,N/A,21.0,3743.4
2025-12-08 10:16:28.893087,0.00,38.13,Not Detected,0.0000,N/A,16.3,3785.6
2025-12-08 10:16:29.899001,7.72,35.68,Not Detected,0.0000,N/A,17.0,3779.4
2025-12-08 10:16:30.899155,8.13,41.51,Not Detected,0.0000,N/A,17.0,3775.1
2025-12-08 10:16:31.899163,7.87,38.39,Not Detected,0.0000,N/A,19.9,3774.3
2025-12-08 10:16:32.904685,7.87,38.11,Not Detected,0.0000,N/A,14.7,3773.7
2025-12-08 10:16:33.917016,8.12,38.93,Not Detected,0.0000,N/A,15.5,3771.0
2025-12-08 10:16:34.917922,7.87,36.65,Not Detected,0.0000,N/A,16.3,3758.1
2025-12-08 10:16:35.917938,8.13,38.16,Not Detected,0.0000,N/A,14.4,3757.5
2025-12-08 10:16:36.925907,7.87,27.70,Not Detected,0.0000,N/A,13.5,3757.5
2025-12-08 10:16:37.934582,7.87,27.04,Not Detected,0.0000,N/A,14.6,3758.0
2025-12-08 10:16:38.937435,8.12,38.57,Not Detected,0.0000,N/A,14.8,3758.2
2025-12-08 10:16:39.946823,7.94,25.18,Not Detected,0.0000,N/A,14.5,3765.5
2025-12-08 10:16:40.948429,7.17,79.16,Not Detected,0.0000,N/A,13.3,3766.5
2025-12-08 10:16:41.960224,7.17,63.26,Detected (21 landmarks),1.0000,0,14.0,3766.7
2025-12-08 10:16:42.968415,7.87,61.94,Detected (21 landmarks),1.0000,0,14.0,3766.3
2025-12-08 10:16:43.972088,7.87,0.00,Detected (21 landmarks),1.0000,0,13.2,3772.0
2025-12-08 10:16:44.978270,9.04,57.90,Detected (21 landmarks),1.0000,0,15.7,3768.6
2025-12-08 10:16:45.982571,8.12,54.85,Detected (21 landmarks),1.0000,0,13.9,3772.7
2025-12-08 10:16:46.987278,9.28,43.06,Not Detected,0.0000,N/A,15.7,3777.1
2025-12-08 10:16:47.990062,8.50,58.62,Detected (21 landmarks),1.0000,0,14.7,3772.3
2025-12-08 10:16:48.998922,8.50,58.20,Detected (21 landmarks),1.0000,0,14.6,3775.0
2025-12-08 10:16:50.005258,7.87,59.74,Detected (21 landmarks),0.9945,0,14.3,3780.4
2025-12-08 10:16:51.012586,10.15,55.35,Detected (21 landmarks),0.0000,N/A,14.5,3767.8
