Timestamp,FPS,Processing_Latency_ms,Landmark_Status,Prediction_Confidence,Predicted_Gesture_ID,CPU_Usage_%,Memory_Usage_MB
2025-12-15 10:43:30.914651,0.00,0.00,Not Detected,0.0000,N/A,0.0,2861.5
2025-12-15 10:43:31.914244,0.00,0.00,Not Detected,0.0000,N/A,31.7,2827.6
2025-12-15 10:43:32.914873,0.00,0.00,Not Detected,0.0000,N/A,28.8,2831.3
2025-12-15 10:43:33.926336,0.00,30.64,Not Detected,0.0000,N/A,18.9,2722.6
2025-12-15 10:43:34.926472,7.84,30.76,Not Detected,0.0000,N/A,22.3,2787.8
2025-12-15 10:43:35.933825,7.84,30.76,Not Detected,0.0000,N/A,35.7,2797.5
2025-12-15 10:43:36.942641,7.84,30.76,Not Detected,0.0000,N/A,23.4,2820.3
2025-12-15 10:43:37.947989,7.84,30.76,Not Detected,0.0000,N/A,24.9,2809.1
2025-12-15 10:43:38.951073,7.84,30.76,Not Detected,0.0000,N/A,23.2,2773.5
2025-12-15 10:43:39.957111,7.84,30.76,Not Detected,0.0000,N/A,22.4,2803.9
2025-12-15 10:43:40.963300,7.84,30.76,Not Detected,0.0000,N/A,25.9,2794.6
2025-12-15 10:43:41.972599,7.84,30.76,Not Detected,0.0000,N/A,28.3,2808.6
2025-12-15 10:43:42.988275,7.84,30.76,Not Detected,0.0000,N/A,23.9,2772.4
2025-12-15 10:43:43.996609,7.84,30.76,Not Detected,0.0000,N/A,29.2,2789.5
2025-12-15 10:43:45.002731,7.84,30.76,Not Detected,0.0000,N/A,34.3,2806.2
2025-12-15 10:43:46.013747,7.84,30.76,Not Detected,0.0000,N/A,26.6,2811.2
2025-12-15 10:43:47.015320,7.84,30.76,Not Detected,0.0000,N/A,22.4,2721.0
2025-12-15 10:43:48.025257,7.84,30.76,Not Detected,0.0000,N/A,21.2,2776.8
2025-12-15 10:43:49.042999,7.84,30.76,Not Detected,0.0000,N/A,22.2,2792.9
2025-12-15 10:43:50.051955,7.84,30.37,Not Detected,0.0000,N/A,23.5,2821.0
2025-12-15 10:43:51.056414,0.61,32.23,Not Detected,0.0000,N/A,19.0,2805.6
2025-12-15 10:43:52.058580,9.83,31.59,Not Detected,0.0000,N/A,19.4,2760.2
2025-12-15 10:43:53.065950,8.69,32.54,Detected (21 landmarks),0.0000,N/A,19.8,2820.4
2025-12-15 10:43:54.072542,7.51,31.78,Not Detected,0.0000,N/A,17.8,2784.1
2025-12-15 10:43:55.079199,10.01,19.15,Not Detected,0.0000,N/A,18.7,2806.5
2025-12-15 10:43:56.085325,9.36,53.08,Detected (21 landmarks),1.0000,0,21.3,2797.1
2025-12-15 10:43:57.097077,9.36,51.65,Detected (21 landmarks),0.0000,N/A,31.6,2764.0
2025-12-15 10:43:58.097621,7.30,0.00,Detected (21 landmarks),1.0000,0,24.7,2675.9
2025-12-15 10:43:59.098412,10.74,32.16,Not Detected,0.0000,N/A,31.4,2651.4
2025-12-15 10:44:00.106399,10.74,32.62,Not Detected,0.0000,N/A,24.6,2754.5
2025-12-15 10:44:01.116262,10.74,32.62,Not Detected,0.0000,N/A,25.6,2765.7
2025-12-15 10:44:02.120094,3.04,32.62,Not Detected,0.0000,N/A,22.8,2750.3
