Timestamp,FPS,Processing_Latency_ms,Landmark_Status,Prediction_Confidence,Predicted_Gesture_ID,CPU_Usage_%,Memory_Usage_MB
2025-12-02 12:20:54.666956,0.00,0.00,Not Detected,0.0000,N/A,0.0,3836.8
2025-12-02 12:20:55.677916,0.00,0.00,Not Detected,0.0000,N/A,20.8,3748.6
2025-12-02 12:20:56.688900,0.00,0.00,Not Detected,0.0000,N/A,21.7,3745.7
2025-12-02 12:20:57.703226,0.00,0.00,Not Detected,0.0000,N/A,21.0,3747.7
2025-12-02 12:20:58.711832,0.00,0.00,Not Detected,0.0000,N/A,21.5,3683.3
2025-12-02 12:20:59.727876,0.00,0.00,Not Detected,0.0000,N/A,24.0,3680.9
2025-12-02 12:21:00.738478,0.00,0.00,Not Detected,0.0000,N/A,19.7,3690.3
2025-12-02 12:21:01.749113,0.00,0.00,Not Detected,0.0000,N/A,20.5,3687.0
2025-12-02 12:21:02.762931,0.00,0.00,Not Detected,0.0000,N/A,19.9,3705.1
2025-12-02 12:21:03.765479,0.00,0.00,Not Detected,0.0000,N/A,22.3,3680.2
2025-12-02 12:21:04.774410,0.00,0.00,Not Detected,0.0000,N/A,18.9,3685.2
2025-12-02 12:21:05.784372,0.00,0.00,Not Detected,0.0000,N/A,12.4,3682.0
2025-12-02 12:21:06.794174,0.00,0.00,Not Detected,0.0000,N/A,10.8,3681.9
2025-12-02 12:21:07.804493,0.00,0.00,Not Detected,0.0000,N/A,10.9,3682.1
2025-12-02 12:21:08.807243,0.00,0.00,Not Detected,0.0000,N/A,11.6,3680.0
2025-12-02 12:21:09.817274,0.00,0.00,Not Detected,0.0000,N/A,11.0,3680.9
2025-12-02 12:21:10.824073,0.00,0.00,Not Detected,0.0000,N/A,11.3,3680.8
2025-12-02 12:21:11.835076,0.00,0.00,Not Detected,0.0000,N/A,12.1,3729.2
2025-12-02 12:21:12.841039,0.00,0.00,Not Detected,0.0000,N/A,11.6,3724.8
2025-12-02 12:21:13.846601,0.00,0.00,Not Detected,0.0000,N/A,11.2,3714.6
2025-12-02 12:21:14.847918,0.00,0.00,Not Detected,0.0000,N/A,10.8,3702.0
2025-12-02 12:21:15.849952,0.00,0.00,Not Detected,0.0000,N/A,11.4,3688.6
2025-12-02 12:21:16.863645,0.00,0.00,Not Detected,0.0000,N/A,11.4,3689.0
