Timestamp,FPS,Processing_Latency_ms,Landmark_Status,Prediction_Confidence,Predicted_Gesture_ID,CPU_Usage_%,Memory_Usage_MB
2025-12-08 16:26:30.389627,0.00,0.00,Not Detected,0.0000,N/A,0.0,3277.9
2025-12-08 16:26:31.380673,0.00,0.00,Not Detected,0.0000,N/A,45.0,3126.7
2025-12-08 16:26:32.389218,0.00,32.63,Not Detected,0.0000,N/A,39.8,3100.1
2025-12-08 16:26:33.389406,6.06,31.89,Not Detected,0.0000,N/A,30.4,3078.9
2025-12-08 16:26:34.391462,9.98,33.62,Not Detected,0.0000,N/A,33.3,3064.4
2025-12-08 16:26:35.403890,9.39,28.78,Not Detected,0.0000,N/A,30.6,3098.0
2025-12-08 16:26:36.404390,10.01,31.78,Not Detected,0.0000,N/A,31.0,3004.3
2025-12-08 16:26:37.414697,9.35,30.12,Not Detected,0.0000,N/A,34.0,2996.3
2025-12-08 16:26:38.416584,10.00,32.62,Detected (21 landmarks),0.0000,N/A,34.6,2971.6
2025-12-08 16:26:39.426181,10.00,55.25,Detected (21 landmarks),0.9996,1,27.6,2994.5
2025-12-08 16:26:40.426958,5.95,30.65,Not Detected,0.0000,N/A,34.1,2964.6
2025-12-08 16:26:41.433945,8.59,35.21,Detected (21 landmarks),0.9139,1,37.5,2928.8
2025-12-08 16:26:42.440567,8.31,55.67,Detected (21 landmarks),0.9948,1,37.1,2847.5
2025-12-08 16:26:43.443504,8.31,56.19,Detected (21 landmarks),0.9992,1,29.5,2928.5
2025-12-08 16:26:44.453176,7.39,55.13,Detected (21 landmarks),0.9992,1,48.4,3014.3
2025-12-08 16:26:45.457827,9.67,54.31,Detected (21 landmarks),1.0000,0,37.2,3037.9
2025-12-08 16:26:46.464588,7.51,50.78,Detected (21 landmarks),1.0000,0,30.9,2999.7
2025-12-08 16:26:47.470261,7.49,51.06,Detected (21 landmarks),1.0000,0,26.4,2982.6
2025-12-08 16:26:48.476499,11.53,50.72,Detected (21 landmarks),1.0000,0,27.2,3024.3
2025-12-08 16:26:49.483407,7.48,49.23,Detected (21 landmarks),0.9976,1,31.5,3033.6
2025-12-08 16:26:50.484707,7.48,53.21,Detected (21 landmarks),1.0000,0,28.8,2990.2
2025-12-08 16:26:51.492184,7.51,52.98,Detected (21 landmarks),1.0000,0,34.2,2987.5
2025-12-08 16:26:52.498153,7.50,0.00,Detected (21 landmarks),1.0000,0,25.8,3027.0
2025-12-08 16:26:53.501416,11.53,51.95,Detected (21 landmarks),0.0000,N/A,26.9,3010.1
2025-12-08 16:26:54.501880,7.50,53.63,Detected (21 landmarks),0.9984,1,26.2,3008.0
2025-12-08 16:26:55.511613,7.50,49.13,Detected (21 landmarks),0.0000,N/A,27.9,2976.1
2025-12-08 16:26:56.511810,11.53,51.72,Detected (21 landmarks),0.9981,1,27.8,3016.5
2025-12-08 16:26:57.522000,11.53,51.86,Detected (21 landmarks),0.9987,1,41.6,3063.1
2025-12-08 16:26:58.530809,7.50,41.12,Not Detected,0.0000,N/A,33.7,3049.4
2025-12-08 16:26:59.536342,9.07,25.56,Not Detected,0.0000,N/A,27.8,3036.3
2025-12-08 16:27:00.540225,9.90,35.95,Not Detected,0.0000,N/A,28.0,3000.8
2025-12-08 16:27:01.541123,9.17,35.91,Not Detected,0.0000,N/A,26.3,3008.9
2025-12-08 16:27:02.549350,10.00,46.51,Not Detected,0.0000,N/A,28.5,2998.8
2025-12-08 16:27:03.550580,9.65,29.21,Not Detected,0.0000,N/A,37.4,3067.6
2025-12-08 16:27:04.555084,10.01,26.34,Not Detected,0.0000,N/A,34.5,3028.6
2025-12-08 16:27:05.555382,10.01,35.49,Not Detected,0.0000,N/A,33.6,3005.0
2025-12-08 16:27:06.559426,10.00,45.53,Not Detected,0.0000,N/A,28.8,2979.6
2025-12-08 16:27:07.564378,9.67,25.16,Not Detected,0.0000,N/A,32.2,2998.5
2025-12-08 16:27:08.568906,9.97,24.85,Not Detected,0.0000,N/A,38.5,2990.6
2025-12-08 16:27:09.577700,9.97,24.85,Not Detected,0.0000,N/A,35.4,2984.7
2025-12-08 16:27:10.587533,9.97,24.85,Not Detected,0.0000,N/A,42.5,3018.9
2025-12-08 16:27:11.598916,2.88,39.21,Not Detected,0.0000,N/A,40.4,3027.1
2025-12-08 16:27:12.598078,9.68,42.61,Not Detected,0.0000,N/A,30.6,3016.2
2025-12-08 16:27:13.602430,9.68,36.63,Not Detected,0.0000,N/A,35.9,3109.2
